anio,mes,dia,hora(utc),altura(mm)
2016,5,31,18,818 
2016,5,31,19,593 
2016,5,31,20,368 
2016,5,31,21,197 
2016,5,31,22,124 
2016,5,31,23,165 
2016,6,1,0,308 
2016,6,1,1,512 
2016,6,1,2,723 
2016,6,1,3,882 
2016,6,1,4,947 
2016,6,1,5,901 
2016,6,1,6,752 
2016,6,1,7,536 
2016,6,1,8,306 
2016,6,1,9,121 
2016,6,1,10,25 
2016,6,1,11,48 
2016,6,1,12,190 
2016,6,1,13,418 
2016,6,1,14,680 
2016,6,1,15,918 
2016,6,1,16,1077 
2016,6,1,17,1121 
2016,6,1,18,1044 
2016,6,1,19,863 
2016,6,1,20,624 
2016,6,1,21,385 
2016,6,1,22,203 
2016,6,1,23,120 
2016,6,2,0,153 
2016,6,2,1,289 
2016,6,2,2,490 
2016,6,2,3,697 
2016,6,2,4,856 
2016,6,2,5,921 
2016,6,2,6,875 
2016,6,2,7,724 
2016,6,2,8,506 
2016,6,2,9,278 
2016,6,2,10,96 
2016,6,2,11,7 
2016,6,2,12,41 
2016,6,2,13,197 
2016,6,2,14,442 
2016,6,2,15,722 
2016,6,2,16,974 
2016,6,2,17,1143 
2016,6,2,18,1191 
2016,6,2,19,1106 
2016,6,2,20,911 
2016,6,2,21,654 
2016,6,2,22,396 
2016,6,2,23,196 
2016,6,3,0,97 
2016,6,3,1,120 
2016,6,3,2,254 
2016,6,3,3,458 
2016,6,3,4,674 
2016,6,3,5,841 
2016,6,3,6,915 
2016,6,3,7,871 
2016,6,3,8,718 
2016,6,3,9,495 
2016,6,3,10,261 
2016,6,3,11,73 
2016,6,3,12,-19 
2016,6,3,13,20 
2016,6,3,14,188 
2016,6,3,15,451 
2016,6,3,16,751 
2016,6,3,17,1022 
2016,6,3,18,1205 
2016,6,3,19,1255 
2016,6,3,20,1163 
2016,6,3,21,952 
2016,6,3,22,675 
2016,6,3,23,395 
2016,6,4,0,172 
2016,6,4,1,56 
2016,6,4,2,74 
2016,6,4,3,213 
2016,6,4,4,429 
2016,6,4,5,661 
2016,6,4,6,845 
2016,6,4,7,930 
2016,6,4,8,888 
2016,6,4,9,729 
2016,6,4,10,496 
2016,6,4,11,249 
2016,6,4,12,48 
2016,6,4,13,-50 
2016,6,4,14,-8 
2016,6,4,15,172 
2016,6,4,16,452 
2016,6,4,17,772 
2016,6,4,18,1063 
2016,6,4,19,1256 
2016,6,4,20,1306 
2016,6,4,21,1204 
2016,6,4,22,978 
2016,6,4,23,680 
2016,6,5,0,375 
2016,6,5,1,131 
2016,6,5,2,7 
2016,6,5,3,27 
2016,6,5,4,179 
2016,6,5,5,413 
2016,6,5,6,666 
2016,6,5,7,867 
2016,6,5,8,959 
2016,6,5,9,916 
2016,6,5,10,749 
2016,6,5,11,504 
2016,6,5,12,241 
2016,6,5,13,25 
2016,6,5,14,-79 
2016,6,5,15,-33 
2016,6,5,16,159 
2016,6,5,17,454 
2016,6,5,18,791 
2016,6,5,19,1094 
2016,6,5,20,1291 
2016,6,5,21,1337 
2016,6,5,22,1224 
2016,6,5,23,981 
2016,6,6,0,662 
2016,6,6,1,337 
2016,6,6,2,82 
2016,6,6,3,-41 
2016,6,6,4,-8 
2016,6,6,5,161 
2016,6,6,6,415 
2016,6,6,7,687 
2016,6,6,8,900 
2016,6,6,9,995 
2016,6,6,10,946 
2016,6,6,11,770 
2016,6,6,12,511 
2016,6,6,13,232 
2016,6,6,14,7 
2016,6,6,15,-95 
2016,6,6,16,-41 
2016,6,6,17,161 
2016,6,6,18,466 
2016,6,6,19,811 
2016,6,6,20,1116 
2016,6,6,21,1308 
2016,6,6,22,1343 
2016,6,6,23,1215 
2016,6,7,0,955 
2016,6,7,1,619 
2016,6,7,2,284 
2016,6,7,3,32 
2016,6,7,4,-76 
2016,6,7,5,-24 
2016,6,7,6,164 
2016,6,7,7,437 
2016,6,7,8,720 
2016,6,7,9,936 
2016,6,7,10,1027 
2016,6,7,11,970 
2016,6,7,12,783 
2016,6,7,13,512 
2016,6,7,14,226 
2016,6,7,15,3 
2016,6,7,16,-90 
2016,6,7,17,-25 
2016,6,7,18,183 
2016,6,7,19,491 
2016,6,7,20,833 
2016,6,7,21,1128 
2016,6,7,22,1303 
2016,6,7,23,1320 
2016,6,8,0,1175 
2016,6,8,1,899 
2016,6,8,2,556 
2016,6,8,3,227 
2016,6,8,4,-5 
2016,6,8,5,-89 
2016,6,8,6,-15 
2016,6,8,7,191 
2016,6,8,8,476 
2016,6,8,9,761 
2016,6,8,10,970 
2016,6,8,11,1048 
2016,6,8,12,979 
2016,6,8,13,782 
2016,6,8,14,506 
2016,6,8,15,224 
2016,6,8,16,16 
2016,6,8,17,-60 
2016,6,8,18,15 
2016,6,8,19,225 
2016,6,8,20,528 
2016,6,8,21,856 
2016,6,8,22,1127 
2016,6,8,23,1276 
2016,6,9,0,1269 
2016,6,9,1,1104 
